Input,Output
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AB0001,AB1001,AB1101,AB1011
	organization Unit is FINLEG110
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AB0001,AB1001,AB1101,AB1011
	organization Unit is FINLEG005
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1c. Sum up the QTD balances from the filters applied in step 1a & 1b.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0001.","ACCOUNT1=['AB0001','AB1001','AB1101','AB1011'];
ICECODE1=['I00000'];

ABCD0001_1=SUM(qtdamt, (org_unit eq 'FINLEG110' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit eq 'FINLEG005' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP'));

ABCD0001_2 = ABCD0001_1 + ABCD0001_TSA;

ABCD0001 = SCLRND(3,-3,ABCD0001_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AC0001,AC1001,AC1101,AC1011
	organization Unit is FINLEG001,FINLEG002
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AC0001,AC1001,AC1101,AC1011
	organization Unit is FINLEG001,FINLEG002
	Ice code is I00001
	Balance Type is End of period (EOP)
1c. Sum up the QTD balances from the filters applied in step 1a & 1b.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0002.","ACCOUNT1=['AC0001','AC1001','AC1101','AC1011'];
ORGUNIT1=['FINLEG001','FINLEG002']

ABCD0002_1=SUM(qtdamt, (org_unit in ORGUNIT1  and account in ACCOUNT1 and icecd eq 'I00000' and baltype eq 'EOP') or (org_unit in ORGUNIT1 and account in ACCOUNT1 and icecd eq 'I00001' and baltype eq 'EOP'));

ABCD0002_2 = ABCD0002_1 + ABCD0002_TSA;

ABCD0002 = SCLRND(3,-3,ABCD0002_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG001,FINLEG002,FINLEG003 
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG001,FINLEG002,FINLEG003
	Ice code is I00001
	Balance Type is End of period (EOP)
1c. Sum up the AVG balances from the filters applied in step 1a & 1b.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0003.","ACCOUNT1=['AC0002','AC1002','AC1102','AC1012'];
ORGUNIT1=['FINLEG001','FINLEG002','FINLEG003']

ABCD0003_1=SUM(avgamt, (org_unit in ORGUNIT1  and account in ACCOUNT1 and icecd eq 'I00000' and baltype eq 'EOP') or (org_unit in ORGUNIT1 and account in ACCOUNT1 and icecd eq 'I00001' and baltype eq 'EOP'));

ABCD0003_2 = ABCD0003_1 + ABCD0003_TSA;

ABCD0003 = SCLRND(3,-3,ABCD0003_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG001,FINLEG002,FINLEG003 
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG001,FINLEG002,FINLEG003
	Ice code is I00001
	Balance Type is End of period (EOP)
1c. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG001
	Ice code is I00001
	Balance Type is begining of period (BOP)
1d. Sum up the AVG balances from the filters applied in step 1a, 1b & 1c.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0004.","ACCOUNT1=['AC0002','AC1002','AC1102','AC1012'];
ORGUNIT1=['FINLEG001','FINLEG002','FINLEG003']
ICECODE1=['I00001']

ABCD0004_1=SUM(avgamt, (org_unit in ORGUNIT1  and account in ACCOUNT1 and icecd eq 'I00000' and baltype eq 'EOP') or (org_unit in ORGUNIT1 and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit eq 'FINLEG001' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'BOP'));

ABCD0004_2 = ABCD0004_1 + ABCD0004_TSA;

ABCD0004 = SCLRND(3,-3,ABCD0004_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG001,FINLEG002,FINLEG003 
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG001,FINLEG002,FINLEG003
	Ice code is I00001
	Balance Type is End of period (EOP)
1c. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG001,FINLEG004
	Ice code is I00001
	Balance Type is begining of period (BOP)
1d. ABC Accounts in AC0003,AC1003,AC1103,AC1013
	organization Unit is FINLEG001,FINLEG004
	Ice code is I00001
	Balance Type is begining of period (BOP)
1e. Sum up the AVG balances from the filters applied in step 1a thorugh 1d.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0005.","ACCOUNT1=['AC0002','AC1002','AC1102','AC1012'];
ACCOUNT2=['AC0003','AC1003','AC1103','AC1013'];
ORGUNIT1=['FINLEG001','FINLEG002','FINLEG003']
ORGUNIT2=['FINLEG001','FINLEG004']
ICECODE1=['I00001']

ABCD0005_1=SUM(avgamt, (org_unit in ORGUNIT1  and account in ACCOUNT1 and icecd eq 'I00000' and baltype eq 'EOP') or (org_unit in ORGUNIT1 and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit in ORGUNIT2 and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'BOP') or (org_unit in ORGUNIT2 and account in ACCOUNT2 and icecd in ICECODE1 and baltype eq 'BOP'));

ABCD0005_2 = ABCD0005_1 + ABCD0005_TSA;

ABCD0005 = SCLRND(3,-3,ABCD0005_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AC0003,AC1002,AC1102,AC1012
	organization Unit is FINLEG001,FINLEG002,FINLEG003 
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AC0003,AC1002,AC1102,AC1012
	organization Unit is FINLEG001,FINLEG002,FINLEG003
	Ice code is I00001
	Balance Type is End of period (EOP)
1c. ABC Accounts in AC0003,AC1002,AC1102,AC1012
	organization Unit is FINLEG001,FINLEG004
	Ice code is I00001
	Balance Type is begining of period (BOP)
1d. ABC Accounts in AC0003,AC1003,AC1103,AC1013
	organization Unit is FINLEG001,FINLEG004
	Ice code is I00001
	Balance Type is begining of period (BOP)
1e. Sum up the AVG balances from the filters applied in step 1a through 1d.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0006.","ACCOUNT1=['AC0003','AC1002','AC1102','AC1012'];
ACCOUNT2=['AC0003','AC1003','AC1103','AC1013'];
ORGUNIT1=['FINLEG001','FINLEG002','FINLEG003']
ORGUNIT2=['FINLEG001','FINLEG004']
ICECODE1=['I00001']

ABCD0006_1=SUM(avgamt, (org_unit in ORGUNIT1  and account in ACCOUNT1 and icecd eq 'I00000' and baltype eq 'EOP') or (org_unit in ORGUNIT1 and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit in ORGUNIT2 and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'BOP') or (org_unit in ORGUNIT2 and account in ACCOUNT2 and icecd in ICECODE1 and baltype eq 'BOP'));

ABCD0006_2 = ABCD0006_1 + ABCD0006_TSA;

ABCD0006 = SCLRND(3,-3,ABCD0006_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AC0003,AC1002,AC1102,AC1012
	organization Unit is FINLEG010,FINLEG002,FINLEG003 
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AC0003,AC1002,AC1102,AC1012
	organization Unit is FINLEG010,FINLEG002,FINLEG003
	Ice code is I00001
	Balance Type is End of period (EOP)
1c. ABC Accounts in AC0003,AC1002,AC1102,AC1012
	organization Unit is FINLEG010,FINLEG004
	Ice code is I00001
	Balance Type is begining of period (BOP)
1d. ABC Accounts in AC0003,AC1003,AC1103,AC1013
	organization Unit is FINLEG010,FINLEG004
	Ice code is I00001
	Balance Type is begining of period (BOP)
1e. Sum up the AVG balances from the filters applied in step 1a through 1d.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0007.","ACCOUNT1=['AC0003','AC1002','AC1102','AC1012'];
ACCOUNT2=['AC0003','AC1003','AC1103','AC1013'];
ORGUNIT1=['FINLEG010','FINLEG002','FINLEG003']
ORGUNIT2=['FINLEG010','FINLEG004']
ICECODE1=['I00001']

ABCD0007_1=SUM(avgamt, (org_unit in ORGUNIT1  and account in ACCOUNT1 and icecd eq 'I00000' and baltype eq 'EOP') or (org_unit in ORGUNIT1 and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit in ORGUNIT2 and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'BOP') or (org_unit in ORGUNIT2 and account in ACCOUNT2 and icecd in ICECODE1 and baltype eq 'BOP'));

ABCD0007_2 = ABCD0007_1 + ABCD0007_TSA;

ABCD0007 = SCLRND(3,-3,ABCD0007_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AB0001,AB1001,AB1101,AB1011
	organization Unit is FINLEG121
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AB0001,AB1001,AB1101,AB1011
	organization Unit is FINLEG005
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1c. Sum up th QTD balances from the filters applied in step 1a and 1b.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0008.","ACCOUNT1=['AB0001','AB1001','AB1101','AB1011'];
ICECODE1=['I00000'];

ABCD0008_1=SUM(qtdamt, (org_unit eq 'FINLEG121' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit eq 'FINLEG005' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP'));

ABCD0008_2 = ABCD0008_1 + ABCD0008_TSA;

ABCD0008 = SCLRND(3,-3,ABCD0008_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AC0001,AC1001,AC1101,AC1011
	organization Unit is FINLEG001,FINLEG002
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AC0001,AC1001,AC1101,AC1011
	organization Unit is FINLEG001,FINLEG002
	Ice code is I11111
	Balance Type is End of period (EOP)
1c. Sum up th QTD balances from the filters applied in step 1a & 1b.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0009.","ACCOUNT1=['AC0001','AC1001','AC1101','AC1011'];
ORGUNIT1=['FINLEG001','FINLEG002']

ABCD0009_1=SUM(qtdamt, (org_unit in ORGUNIT1  and account in ACCOUNT1 and icecd eq 'I00000' and baltype eq 'EOP') or (org_unit in ORGUNIT1 and account in ACCOUNT1 and icecd eq 'I11111' and baltype eq 'EOP'));

ABCD0009_2 = ABCD0009_1 + ABCD0009_TSA;

ABCD0009 = SCLRND(3,-3,ABCD0009_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG001,FINLEG002,FINLEG003 
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG001,FINLEG002,FINLEG003
	Ice code is I00001
	Balance Type is End of period (EOP)
1c. Sum up th YTD balances from the filters applied in step 1a & 1b.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0010.","ACCOUNT1=['AC0002','AC1002','AC1102','AC1012'];
ORGUNIT1=['FINLEG001','FINLEG002','FINLEG003']

ABCD0010_1=SUM(ytdamt, (org_unit in ORGUNIT1  and account in ACCOUNT1 and icecd eq 'I00000' and baltype eq 'EOP') or (org_unit in ORGUNIT1 and account in ACCOUNT1 and icecd eq 'I00001' and baltype eq 'EOP'));

ABCD0010_2 = ABCD0010_1 + ABCD0010_TSA;

ABCD0010 = SCLRND(3,-3,ABCD0010_2);"
